[1.e+08 1.e-44]
[1.06413198e+08 1.03005677e-47]
[1.06413198e+08 1.03005677e-47]
[1.06413198e+08 1.03005677e-47]
[1.06413198e+08 1.03005677e-47]
[1.06413198e+08 1.03005677e-47]
[1.05745452e+08 1.37981976e-47]
[1.05798260e+08 1.34157531e-47]
[1.05798260e+08 1.34157531e-47]
[1.05798260e+08 1.34157531e-47]
[1.05798260e+08 1.34157531e-47]
[1.05806899e+08 1.44019422e-47]
[1.05806899e+08 1.44019422e-47]
[1.05806899e+08 1.44019422e-47]
[1.05561626e+08 1.13851650e-47]
[1.05561626e+08 1.13851650e-47]
[1.04216868e+08 1.06494453e-47]
[1.04216868e+08 1.06494453e-47]
[1.04216868e+08 1.06494453e-47]
[1.03971755e+08 1.00765016e-47]
[1.03971755e+08 1.00765016e-47]
[1.05490009e+08 1.04523862e-47]
[1.05490009e+08 1.04523862e-47]
[1.04534250e+08 1.04195019e-47]
[1.04534250e+08 1.04195019e-47]
[1.04534250e+08 1.04195019e-47]
[1.03701740e+08 1.56651431e-47]
[1.03701740e+08 1.56651431e-47]
[1.03701740e+08 1.56651431e-47]
[1.03701740e+08 1.56651431e-47]
[1.03971033e+08 1.42008403e-47]
[1.04474079e+08 1.49388954e-47]
[1.04474079e+08 1.49388954e-47]
[1.05206968e+08 1.21761711e-47]
[1.05206968e+08 1.21761711e-47]
[1.05206968e+08 1.21761711e-47]
[1.04358934e+08 1.06166879e-47]
[1.04358934e+08 1.06166879e-47]
[1.04358934e+08 1.06166879e-47]
[1.04358934e+08 1.06166879e-47]
[1.04358934e+08 1.06166879e-47]
[1.05060558e+08 9.85584225e-48]
[1.05060558e+08 9.85584225e-48]
[1.05060558e+08 9.85584225e-48]
[1.05060558e+08 9.85584225e-48]
[1.04293735e+08 1.01652336e-47]
[1.04731597e+08 1.00895642e-47]
[1.04731597e+08 1.00895642e-47]
[1.04731597e+08 1.00895642e-47]
[1.04731597e+08 1.00895642e-47]
[1.04731597e+08 1.00895642e-47]
[1.04638288e+08 8.67281616e-48]
[1.05029302e+08 9.98624914e-48]
[1.05029302e+08 9.98624914e-48]
[1.05029302e+08 9.98624914e-48]
[1.05029302e+08 9.98624914e-48]
[1.04155015e+08 1.13397561e-47]
[1.04155015e+08 1.13397561e-47]
[1.04155015e+08 1.13397561e-47]
[1.04155015e+08 1.13397561e-47]
[1.04368706e+08 9.96691861e-48]
[1.05683093e+08 1.18794153e-47]
[1.06328961e+08 9.56087571e-48]
[1.06328961e+08 9.56087571e-48]
[1.06058497e+08 9.83932192e-48]
[1.06058497e+08 9.83932192e-48]
[1.06196458e+08 8.64065096e-48]
[1.04736841e+08 9.57582862e-48]
[1.04736841e+08 9.57582862e-48]
[1.04095589e+08 1.09439477e-47]
[1.04095589e+08 1.09439477e-47]
[1.04362379e+08 1.16395229e-47]
[1.04362379e+08 1.16395229e-47]
[1.04362379e+08 1.16395229e-47]
[1.04528707e+08 1.14506451e-47]
[1.04528707e+08 1.14506451e-47]
[1.05097750e+08 1.57951007e-47]
[1.05737770e+08 1.20838362e-47]
[1.05825953e+08 1.00471671e-47]
[1.05825953e+08 1.00471671e-47]
[1.05825953e+08 1.00471671e-47]
[1.0580188e+08 9.7172241e-48]
[1.0580188e+08 9.7172241e-48]
